m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
179.929	1.464	1.227	0.838
180.081	1.424	1.259	0.884
180.093	1.432	1.227	0.857
180.151	1.416	1.227	0.866
180.937	24.295	23.759	0.978
181.076	24.279	23.662	0.975
181.101	24.270	23.630	0.974
181.159	24.026	23.340	0.971
181.170	23.929	23.210	0.970
182.109	2.848	3.003	1.054
183.047	19.202	20.081	1.046
183.080	19.194	20.049	1.045
186.140	0.887	1.001	1.128
187.148	1.700	1.840	1.082
188.937	0.724	0.645	0.892
189.164	0.691	0.516	0.747
191.143	2.539	2.454	0.966
192.093	2.230	1.808	0.811
193.101	4.355	4.586	1.053
193.122	4.241	4.521	1.066
194.154	1.904	1.937	1.017
195.065	1.521	1.485	0.976
195.138	1.424	1.324	0.930
197.132	0.952	0.807	0.848
199.148	1.782	1.646	0.924
201.139	9.114	8.944	0.981
201.233	9.090	8.977	0.988
203.086	0.903	0.742	0.822
203.154	0.895	0.742	0.830
204.187	0.398	0.290	0.729
205.157	0.919	0.968	1.053
205.195	0.935	0.968	1.035
211.148	11.540	12.368	1.072
228.093	11.066	12.105	1.094
228.269	10.993	11.976	1.089
237.164	0.846	0.936	1.107
239.007	1.033	1.227	1.187
239.179	1.000	1.227	1.226
150.000	865.228	866.662	1.002
