"m.z"	"variable"	"d0_log10FC"	"d6_log10FC"	"d12_log10FC"	"ES"	"replication"
53.026	"ES0_1"	-0.066012408938302	-0.010740270680791	0	"ES0"	"1"
53.939	"ES0_1"	0.201177375345397	-0.0497115646728748	-0.241324504811275	"ES0"	"1"
54.046	"ES0_1"	0.155887872967394	-0.0669289968747304	-0.233375770656379	"ES0"	"1"
54.947	"ES0_1"	-0.0135517612901239	-0.11100285149572	0.0437834122894802	"ES0"	"1"
57.033	"ES0_1"	0	-0.205605433786597	-0.106179434771515	"ES0"	"1"
57.07	"ES0_1"	0	-0.205641824471541	-0.105932777738801	"ES0"	"1"
59.049	"ES0_1"	0.329463318691126	0.0914180526099961	0.0031378680237933	"ES0"	"1"
59.086	"ES0_1"	0.329610484948951	0.0913939735587292	0.00313304995382858	"ES0"	"1"
61.028	"ES0_1"	0.994837871680861	0	-0.0205964895370198	"ES0"	"1"
61.065	"ES0_1"	0.994978834260065	0	-0.0205957127330099	"ES0"	"1"
62.995	"ES0_1"	-0.00394534524614142	-0.412454620919883	-0.742874774675457	"ES0"	"1"
63.026	"ES0_1"	-0.00290304879027586	-0.414569584715321	-0.74476912651159	"ES0"	"1"
64.003	"ES0_1"	0.229727701480606	-0.112498597073725	-0.25311165818679	"ES0"	"1"
65.02	"ES0_1"	0.103687099566441	-0.158250430558851	-0.271499591285074	"ES0"	"1"
68.049	"ES0_1"	-0.055057573000919	-0.28049426252913	-0.222662520283027	"ES0"	"1"
69.033	"ES0_1"	-0.0946756128066737	-0.0475316706821495	0.0149060011579522	"ES0"	"1"
69.07	"ES0_1"	-0.0951702527046205	-0.0470665301879589	0.0153247572269358	"ES0"	"1"
71.049	"ES0_1"	0	-0.22766365800161	-0.141080725754879	"ES0"	"1"
71.086	"ES0_1"	0	-0.228037459697491	-0.139963256582812	"ES0"	"1"
73.065	"ES0_1"	0.175163233529817	-0.182467192889906	-0.245154183093408	"ES0"	"1"
75.044	"ES0_1"	0.916426548262589	0	-0.114158052893905	"ES0"	"1"
75.068	"ES0_1"	0.916455056341723	0	-0.114110767775304	"ES0"	"1"
77.06	"ES0_1"	-0.378307750716797	0.00237339960524252	-0.117277389776707	"ES0"	"1"
78.046	"ES0_1"	-0.401026827814223	0.0864823843864198	-0.0200733988797764	"ES0"	"1"
79.054	"ES0_1"	-0.149266065948242	0	-0.101627651541501	"ES0"	"1"
80.049	"ES0_1"	-0.0698099940683351	-0.0898356417043598	-0.109676682601748	"ES0"	"1"
81.07	"ES0_1"	-0.143747055764397	-0.00484519705456708	-0.609254252338273	"ES0"	"1"
82.078	"ES0_1"	-0.17377662651529	-0.0754893155085132	-0.406860488826291	"ES0"	"1"
82.989	"ES0_1"	-0.172460324934125	-0.0716307925929591	0.0436580479474999	"ES0"	"1"
83.01	"ES0_1"	-0.171643451910422	-0.0715879336661808	0.0434738779824585	"ES0"	"1"
83.049	"ES0_1"	-0.170567659872041	-0.0709995506607811	0.0432747944569629	"ES0"	"1"
83.086	"ES0_1"	-0.167343198240454	-0.0714034983537874	0.0435715243383488	"ES0"	"1"
83.911	"ES0_1"	-0.211015169685039	-0.0759969752235817	0.0097326658634957	"ES0"	"1"
84.081	"ES0_1"	-0.0252965602625818	-0.0870118362954623	0.0169965557231001	"ES0"	"1"
84.919	"ES0_1"	-0.296615627080983	-0.449871634079145	-0.781174591206605	"ES0"	"1"
85.065	"ES0_1"	-0.0564927132151856	-0.446779185494821	-0.778269078934531	"ES0"	"1"
