"m.z"	"variable"	"d0_value"	"d6_value"	"d12_value"	"ES"	"replication"	"d0_log10value"	"d6_log10value"	"d12_log10value"
131.06	"ES0.5_1"	9.202	7.072	5.166	"ES0.5"	"1"	1.00868531919517	0.906981153228854	0.790003520390489
131.107	"ES0.5_1"	9.17	7.105	5.133	"ES0.5"	"1"	1.00732095292274	0.908753019184534	0.787672964687493
131.143	"ES0.5_1"	9.073	7.105	5.069	"ES0.5"	"1"	1.00315883395086	0.908753019184534	0.783117137490467
131.154	"ES0.5_1"	9.041	7.072	5.037	"ES0.5"	"1"	1.00177696707744	0.906981153228854	0.780821175853473
132.066	"ES0.5_1"	1.033	1.065	0.839	"ES0.5"	"1"	0.308137378638039	0.31492005599242	0.264581729238077
132.102	"ES0.5_1"	1.033	1.001	0.903	"ES0.5"	"1"	0.308137378638039	0.301247088636211	0.27943878828702
133.065	"ES0.5_1"	4.877	4.037	2.939	"ES0.5"	"1"	0.769155690714399	0.702171950857711	0.595385980809142
133.101	"ES0.5_1"	4.618	3.875	2.81	"ES0.5"	"1"	0.749581734865559	0.687974620034556	0.580924975675619
135.08	"ES0.5_1"	10.267	4.973	5.198	"ES0.5"	"1"	1.05180829431709	0.776192514747072	0.792251571903264
135.117	"ES0.5_1"	10.17	5.005	5.134	"ES0.5"	"1"	1.04805317311561	0.778513011738925	0.787743771646467
137.047	"ES0.5_1"	18.79	24.212	32.635	"ES0.5"	"1"	1.2964457942064	1.40160729845358	1.52679143201882
137.06	"ES0.5_1"	18.757	24.244	32.635	"ES0.5"	"1"	1.29572099984884	1.40215817150274	1.52679143201882
137.06	"ES0.5_1"	18.757	24.244	32.635	"ES0.5"	"1"	1.29572099984884	1.40215817150274	1.52679143201882
137.071	"ES0.5_1"	18.757	24.277	32.635	"ES0.5"	"1"	1.29572099984884	1.40272552844108	1.52679143201882
137.132	"ES0.5_1"	18.79	24.309	32.636	"ES0.5"	"1"	1.2964457942064	1.40327498581169	1.52680434380791
139.148	"ES0.5_1"	10.299	5.876	7.233	"ES0.5"	"1"	1.05304000864275	0.837335868015015	0.91555811541152
144.175	"ES0.5_1"	1.937	1.937	1.679	"ES0.5"	"1"	0.4679039465228	0.4679039465228	0.427972713608209
145.076	"ES0.5_1"	24.695	18.401	11.686	"ES0.5"	"1"	1.40984862202119	1.28782411566678	1.10332470706144
145.122	"ES0.5_1"	24.663	18.337	11.654	"ES0.5"	"1"	1.40930742395198	1.28638909722852	1.10222783012313
145.962	"ES0.5_1"	3.422	2.647	2.227	"ES0.5"	"1"	0.645618738242695	0.561935763313781	0.508798965403905
145.968	"ES0.5_1"	3.422	2.647	2.195	"ES0.5"	"1"	0.645618738242695	0.561935763313781	0.504470862494419
146.97	"ES0.5_1"	3.035	2.841	1.646	"ES0.5"	"1"	0.605843539058089	0.584444307165176	0.422589839851482
146.976	"ES0.5_1"	3.035	2.809	1.646	"ES0.5"	"1"	0.605843539058089	0.580810972660946	0.422589839851482
148.088	"ES0.5_1"	1.033	0.581	0.678	"ES0.5"	"1"	0.308137378638039	0.198931869932209	0.224791956492681
