"m.z","ES0_1","ES0_2","ES0_3","ES0.5_1","ES0.5_2","ES0.5_3","ES2.5_1","ES2.5_2","ES2.5_3","ES5_1","ES5_2","ES5_3","ES8_1","ES8_2","ES8_3","ES0","ES0.5","ES2.5","ES5","ES8"
"m32.989 ((H2P)+) ",12708.12,16954.791,30773.432,25406.02,31269.078,8271.343,11019.431,32911.48,13928.36,14588.717,13854.407,14051.392,15004.018,14577.303,15622.131,2856.151,4376.763,5664.546,15441.161,15977.128
"m32.989 (O2 17+) ",12707.539,16954.273,30773.109,25405.762,31268.691,8271.084,11019.205,32911.48,13928.037,14588.395,13854.149,14050.811,15003.759,14577.012,15621.937,2856.022,4376.343,5664.223,15440.841,15976.709
"m32.997 ((O2)H+) ",12713.738,16964.572,30795.73,25427.525,31297.057,8278.175,11028.162,33023.59,13940.382,14601.555,13867.981,14064.039,15017.696,14590.768,15635.307,2857.125,4379.941,5669.363,15455.463,15993.434
"m33.033 ((CH4O)H+) ",12714.565,16968.666,30803.877,25434.928,31309.994,8281.31,11031.553,33072.758,13945.384,14606.502,13873.008,14068.993,15023.796,14597.514,15640.428,2857.286,4380.801,5670.212,15462.63,15999.42
"m33.045 ((H4N2)H+) ",12712.152,16966.932,30801.365,25432.441,31307.875,8281.145,11029.648,33071.645,13943.869,14605.213,13871.983,14067.65,15022.022,14595.704,15639.09,2857.196,4379.443,5669.762,15461.434,15997.307
"m33.987 ((H2S)+) ",433.1,490.205,654.131,577.205,646.779,353.437,402.251,674.681,403.777,444.872,423.235,424.24,447.01,434.972,403.709,323.056,329.988,335.879,447.142,461.06
"m33.997 ((H2P)H+) ",432.749,490.273,653.718,577.568,647.175,353.442,402.093,676.642,403.618,444.876,423.078,424.277,446.787,435.656,403.681,322.865,330.056,335.654,446.905,461.292
"m34.005 ((H2O2)+) ",432.721,489.922,653.887,577.444,647.442,353.542,402.227,676.94,403.169,444.945,423.276,424.314,446.823,435.53,403.879,322.738,330.059,335.463,446.789,461.361
"m34.995 ((H2S)H+) ",39.938,48.654,79.391,66.891,79.388,26.639,32.646,87.075,37.742,40.613,41.713,40.355,41.714,43.551,43.842,17.567,18.309,21.987,41.633,46.264
"m35.005 ((H3P)H+) ",39.841,48.267,79.229,66.988,79.323,26.704,32.647,87.365,37.71,40.322,41.422,40.29,41.617,43.293,43.648,17.341,18.244,21.826,41.593,46.006
"m35.976 ((HCl)+) ",7.332,8.301,9.979,10.141,9.205,6.783,7.428,9.882,6.912,8.591,7.073,8.656,6.943,8.46,7.783,6.072,6.88,6.621,8.61,8.268
"m36.984 ((HCl)H+) ",10469.677,11037.349,11718.675,11452.936,13710.261,15120.253,15820.889,9691.899,19099.488,18084.518,18384.947,18409.789,19856.725,19874.002,26505.627,10279.943,12881.521,14386.257,18222.926,19711.984
"m37.028 (cluster h2oH+) ",10472.298,11039.303,11723.917,11457.543,13716.541,15126.324,15826.489,9706.041,19107.93,18092.797,18392.789,18419.076,19865.264,19882.979,26517.141,10281.318,12887.055,14394.566,18229.859,19722.279
"m41.002 ((C2O)H+) ",278.65,423.273,633.814,508.181,576.438,488.351,368.746,552.85,417.988,330.806,393.927,481.698,347.977,405.57,483.515,138.874,319.274,335.409,308.536,340.394
"m41.026 ((C2H3N)+) ",278.941,423.276,634.109,508.184,576.604,488.84,368.686,553.372,418.282,330.777,394.059,481.96,348.207,405.896,483.519,138.939,319.73,336.029,308.86,340.495
"m41.039 ((C3H5)+) ",278.683,423.18,634.175,507.991,576.411,488.81,368.59,553.471,418.219,330.778,394.061,481.864,348.144,405.575,483.456,139.068,319.602,335.965,309.062,340.625
"m42.034 ((C2H3N)H+) ",154.76,143.388,118.938,119.776,110.636,139.546,133.146,101.85,135.021,157.44,134.924,126.688,160.639,153.824,140.061,185.275,189.222,148.944,166.37,158.831
"m43.018 ((C2H3O)+) ",1100.328,1104.074,2065.018,1340.804,1812.122,1596.501,1538.883,2122.384,1417.401,887.322,1617.305,1378.964,1221.489,975.76,1838.777,649.102,852.647,986.711,905.008,839.104
"m43.054 ((C3H7)+) ",1096.059,1099.381,2059.998,1337.76,1808.22,1592.571,1534.692,2118.187,1413.652,883.95,1613.206,1376.053,1218.68,972.576,1832.616,644.014,848.505,983.344,901.023,835.537
"m43.989 ((CO2)+) ",63.532,61.535,80.257,66.311,80.031,76.03,69.151,84.42,70.379,54.334,68.924,65.568,63.149,55.563,83.619,60.793,58.63,60.534,55.003,52.594
"m44.001 ((N2O)+) ",63.371,61.309,80.225,66.214,80.225,76.031,69.151,84.55,70.476,54.463,68.762,65.504,63.149,55.692,83.587,60.696,58.695,60.47,54.923,52.594
"m44.062 ((C3H8)+) ",61.756,59.791,79.127,65.051,79.385,74.739,68.021,84.259,69.087,53.042,67.955,64.826,61.986,54.304,82.392,57.951,56.79,59.049,53.482,51.109
"m44.997 ((CO2)H+) ",526.035,676.884,1321.562,1603.221,1872.039,2112.612,715.616,1778.261,2998.16,696.806,1240.028,1702.308,731.773,1118.06,3522.191,307.73,310.061,372.17,322.177,327.328
"m45.033 ((C2H5O)+) ",525.714,676.498,1321.057,1602.98,1871.409,2112.053,715.588,1778.289,2996.754,696.746,1239.621,1702.062,731.13,1117.227,3521.17,307.634,309.966,372.14,322.019,327.169
"m45.992 ((NO2)+) ",47.719,50.235,61.858,65.473,72.093,69.637,48.654,70.536,81.324,45.747,62.151,63.376,48.072,52.753,85.134,40.746,42.458,44.554,39.436,38.099
"m46.021 ((C2H3F)+) ",47.655,50.139,61.503,65.441,72.157,69.572,48.364,70.504,81.195,45.844,62.022,63.279,47.975,52.688,85.167,40.811,42.394,44.554,39.276,38.067
"m47.013 ((CH2O2)H+) ",163.065,162.839,175.122,171.469,170.662,142.811,146.071,157.249,178.457,151.565,163.945,166.267,151.694,160.226,193.911,166.88,163.551,130.085,146.416,144.551
"m47.037 ((CH5NO)+) ",162.936,162.968,175.348,171.436,170.662,142.843,146.103,157.216,178.425,151.339,163.784,166.364,151.662,160.226,193.976,166.881,163.745,130.118,146.417,144.584
"m47.049 ((C2H6O)H+) ",162.936,163.001,175.252,171.372,170.597,142.714,146.168,157.281,178.489,151.339,163.719,166.396,151.629,160.129,193.879,166.848,163.745,130.118,146.377,144.648
"m47.060 ((CH6N2)H+) ",162.807,162.968,175.123,171.307,170.404,142.714,146.2,157.216,178.489,151.274,163.622,166.428,151.597,160.29,194.008,166.881,163.713,130.086,146.377,144.616
"m47.984 ((O3)+) ",5.425,6.361,4.779,5.328,5.07,4.65,7.007,6.426,11.72,6.297,7.459,7.556,7.621,8.784,10.526,5.328,4.714,4.424,4.084,4.521
"m49.011 ((CH4S)H+) ",3.422,3.52,5.716,4.746,4.973,3.617,12.267,25.531,46.317,27.629,20.949,25.112,52.094,18.723,20.528,3.1,2.616,2.841,2.563,2.81
"m49.992 ((CH3Cl)+) ",8.296,8.489,8.264,8.2,7.618,9.653,8.296,8.491,9.458,8.749,9.555,9.136,10.039,9.91,7.813,8.426,9.36,9.363,9.205,9.911
"m51.000 ((CH3Cl)H+) ",11.557,15.687,26.728,21.755,33.439,11.331,14.333,25.37,23.08,22.627,20.24,20.433,27.051,23.628,30.569,5.167,5.845,7.426,22.296,23.789
"m52.012 ((CH2F2)+) ",1.291,2.325,1.711,1.485,2.066,1.905,1.421,1.97,1.324,1.42,1.84,1.743,1.711,1.97,1.873,1.744,1.42,1.42,1.682,1.582
"m52.018 ((C3HN)H+) ",1.259,2.325,1.776,1.485,2.034,1.905,1.453,1.97,1.356,1.485,1.873,1.743,1.711,2.066,1.969,1.744,1.42,1.453,1.722,1.614
"m53.026 ((C3H3N)+) ",7.748,7.942,9.266,8.814,9.621,9.75,7.682,8.555,7.781,6.846,7.619,7.49,6.49,7.103,7.264,5.554,6.845,6.942,6.725,5.974
"m53.939 ((Fe)+) ",3.455,3.874,10.715,4.746,5.295,5.586,3.712,4.036,4.23,2.615,3.584,2.938,2.744,3.325,3.294,2.163,2.292,2.744,2.202,2.583
"m54.046 ((C4H6)+) ",3.487,4.068,10.942,4.618,5.36,5.683,3.809,4.036,4.327,2.357,3.584,3.1,2.648,3.487,3.391,2.131,2.68,2.712,2.242,2.648
"m54.947 ((Fe)H+) ",66.072,85.314,110.667,98.554,114.219,107.794,91.805,100.653,99.364,84.025,100.365,100.492,87.642,92.707,108.795,48.382,74.563,81.407,76.93,84.572
"m57.033 ((C3H4O)H+) ",198.797,319.165,521.154,394.571,489.864,411.814,257.314,474.677,346.375,240.234,322.633,434.872,277.255,347.61,479.057,30.925,190.998,232.793,227.082,265.081
"m57.070 ((C4H8)H+) ",198.7,319.036,520.897,394.411,489.8,411.557,256.927,474.809,346.442,240.266,322.407,434.906,277.029,347.482,478.897,30.732,190.836,232.89,226.962,264.952
"m59.049 ((C3H6O)H+) ",8875.451,7190.72,3512.217,3730.135,4042.481,6417.988,5986.331,6477.755,5200.64,6771.745,4559.562,4103.457,6919.815,6621.772,5463.737,12147.354,10007.779,8222.61,8162.243,7461.548
"m59.086 ((C4H10)H+) ",8869.985,7186.69,3509.623,3728.053,4040.353,6414.315,5982.642,6475.915,5196.913,6768.479,4557.441,4101.825,6915.116,6618.478,5461.093,12139.99,10002.583,8217.435,8157.498,7457.861
"m61.028 ((C2H4O2)H+) ",1458.21,1397.29,2777.087,1812.881,2628.393,2364.648,2067.935,3375.159,2008.443,947.383,2175.548,1759.674,1434.854,1031.099,2344.631,708.379,942.878,1212.612,955.745,833.653
"m61.065 ((C3H8O)H+) ",1457.702,1396.651,2775.781,1812.051,2626.828,2363.045,2067.141,3374.638,2007.741,946.839,2174.497,1759.136,1434.247,1030.424,2343.882,707.769,942.559,1212.069,955.347,833.497
"m62.995 ((HNO3)+) ",21.403,55.326,112.217,117.773,204.743,168.428,322.504,190.092,484.447,155.572,201.118,329.303,183.31,332.356,403.098,7.653,116.997,134.89,89.903,88.188
"m63.026 ((C2H6S)H+) ",21.274,55.261,112.185,117.773,204.84,168.331,322.343,190.189,484.093,155.637,200.924,329.272,183.149,332.552,402.872,7.815,116.932,135.052,89.783,88.188
"m64.003 ((HNO3)H+) ",2.293,2.971,3.649,4.133,5.975,4.715,9.685,6.91,16.303,5.554,7.361,10.428,6.522,10.717,12.686,2.293,4.165,4.166,3.604,2.777
"m65.020 ((C2H2F2)H+) ",3.23,4.65,7.62,7.007,9.105,8.493,14.754,9.686,22.531,8.589,10.783,14.46,10.396,19.432,18.948,2.906,5.91,5.618,4.644,4.553
"m68.049 ((C4H5N)H+) ",1.743,3.325,5.133,5.941,7.586,8.524,6.296,4.876,7.812,6.328,7.685,6.618,7.975,7.264,7.426,1.775,6.457,6.974,6.966,6.361
"m69.033 ((C4H4O)H+) ",54.427,60.722,76.964,65.79,73.994,72.568,69.182,62.786,69.405,62.948,68.791,71.634,61.977,68.437,72.989,45.194,62.883,61.174,66.008,62.754
"m69.070 ((C5H8)H+) ",54.427,60.657,76.867,65.855,73.865,72.6,69.053,62.721,69.34,62.948,68.662,71.634,61.977,68.437,73.054,45.227,62.915,61.078,66.049,62.722
"m71.049 ((C4H6O)H+) ",30.862,52.13,84.319,68.596,85.609,73.309,57.783,60.849,59.491,48.129,58.619,65.752,48.806,59.33,77.765,15.109,48.839,49.355,43.032,46.61
"m71.086 ((C5H10)H+) ",30.797,52.065,84.416,68.466,85.576,73.471,57.653,60.817,59.555,48.259,58.49,65.72,48.806,59.362,77.765,15.109,48.839,49.356,42.992,46.61
"m73.065 ((C4H8O)H+) ",107.081,162.997,260.584,207.43,345.509,324.193,255.732,523.33,242.728,161.028,238.294,271.623,176.736,222.924,265.376,37.798,117.129,211.218,155.669,172.762
"m75.044 ((C3H6O2)H+) ",224.152,191.903,710.266,276.703,338.183,244.987,316.318,632.271,228.78,104.079,248.974,228.716,193.62,149.204,617.418,39.702,77.049,116.062,86.579,92.585
"m75.068 ((C3H9NO)+) ",224.119,191.806,710.073,276.606,337.926,244.826,316.124,632.208,228.683,103.918,249.103,228.619,193.653,149.108,617.419,39.735,76.952,115.997,86.499,92.52
"m77.060 ((C3H8O2)H+) ",65.504,65.147,63.759,59.789,56.656,50.718,48.652,31.478,43.262,47.78,46.361,43.842,46.908,45.908,44.943,60.434,55.203,48.524,49.239,44.582
"m78.046 ((C6H6)+) ",11.625,9.526,9.203,8.59,8.622,7.266,7.233,4.715,7.62,8.783,7.428,7.202,8.493,7.589,7.491,9.139,9.107,6.976,7.168,7.944
"m79.054 ((C6H6)H+) ",21.854,21.596,25.924,24.211,21.338,22.242,24.375,20.079,25.925,25.18,30.639,26.183,29.25,26.668,26.277,20.498,24.083,24.758,26.219,27.828
"m80.049 ((C5H5N)H+) ",2.389,3.1,2.938,2.712,2.615,2.971,3.713,2.55,3.52,3.52,3.972,3.714,2.971,3.358,3.455,2.647,3.358,3.551,3.563,3.939
"m81.070 ((C6H8)H+) ",25.76,26.049,46.355,42.385,31.862,43.998,58.425,26.793,61.68,58.197,78.35,74.467,57.163,56.324,63.526,24.564,29.02,60.134,58.836,63.556
"m82.078 ((C6H10)+) ",3.229,3.842,5.748,4.65,4.52,4.811,6.199,3.906,6.555,6.458,7.586,6.877,5.037,5.521,6.263,3.39,4.424,5.973,6.206,6.006
"m82.989 ((H3O3P)H+) ",40.682,47.977,59.891,54.659,63.281,64.215,50.488,56.979,59.277,47.808,51.137,51.942,49.616,50.94,59.628,31.347,44.195,51.813,47.193,47.999
"m83.010 ((C2HF3)H+) ",40.714,48.01,59.988,54.659,63.41,64.28,50.585,57.302,59.374,47.872,51.202,52.136,49.777,51.004,59.725,31.412,44.195,52.007,47.393,48.063
"m83.049 ((C5H6O)H+) ",40.714,47.945,60.02,54.627,63.539,64.183,50.682,57.302,59.181,48.002,51.266,52.201,49.68,51.134,59.79,31.379,44.26,52.104,47.433,48.031
"m83.086 ((C6H10)H+) ",40.649,47.913,59.924,54.659,63.41,64.086,50.714,57.173,59.051,48.098,51.17,52.071,49.745,51.198,59.66,31.347,44.26,51.943,47.313,47.902
"m83.911 ((Kr)+) ",5.909,7.362,7.039,6.329,6.425,5.908,7.136,4.294,5.683,6.781,6.005,5.457,6.393,6.425,7.296,6.458,7.684,6.167,8.487,7.523
"m84.081 ((C5H9N)H+) ",7.136,8.719,9.234,8.073,8.459,7.685,8.59,7.33,8.04,7.911,8.072,6.942,8.363,8.266,9.234,6.878,9.655,8.266,9.849,9.525
"m84.919 ((Kr)H+) ",29.641,83.515,182.477,177.239,299.155,348.936,223.382,102.786,270.63,272.921,264.38,261.337,325.538,321.586,344.427,11.559,219.145,239.135,281.098,321.039
"m85.065 ((C5H8O)H+) ",33.259,93.044,202.293,198.088,328.863,378.658,244.893,135.541,297.174,299.787,293.574,287.94,358.169,353.147,378.653,12.141,237.45,261.162,307.717,350.753
"m85.101 ((C6H12)H+) ",33.292,92.689,201.97,197.894,328.282,378.53,244.828,135.509,297.013,299.723,293.51,287.908,358.073,353.019,378.362,12.173,237.321,261.066,307.758,350.753
"m86.036 ((C4H6O2)+) ",6.684,10.107,16.302,15.72,23.531,26.533,20.303,11.137,22.726,24.179,23.502,22.92,27.441,27.406,28.731,7.007,18.723,20.757,25.46,28.471
"m86.060 ((C4H7NO)H+) ",6.684,10.139,16.237,15.72,23.434,26.501,20.335,11.072,22.662,24.212,23.469,22.952,27.441,27.342,28.666,7.007,18.627,20.725,25.42,28.439
"m86.096 ((C5H11N)H+) ",6.684,10.171,16.269,15.688,23.499,26.566,20.4,11.105,22.694,24.276,23.469,22.984,27.408,27.278,28.666,6.943,18.756,20.725,25.42,28.374
"m87.044 ((C4H6O2)H+) ",18.984,22.663,31.315,30.088,29.6,32.638,23.923,34.67,30.088,22.854,32.349,29.7,24.113,27.246,32.605,10.717,15.462,19.53,17.372,18.207
"m87.080 ((C5H10O)H+) ",18.984,22.728,31.347,30.056,29.633,32.542,24.019,34.735,29.926,22.855,32.382,29.668,24.145,27.085,32.605,10.782,15.559,19.498,17.372,18.336
"m88.112 ((C5H13N)H+) ",5.651,8.168,12.687,11.783,10.267,11.266,6.975,6.748,12.009,7.168,10.622,9.943,6.845,9.459,11.364,3.972,4.618,5.231,5.084,4.424
"m89.023 ((C3H4O3)H+) ",117.87,122.746,224.054,149.071,224.834,201.343,194.359,253.141,189.51,110.082,198.018,175.54,157.599,126.49,262.552,65.749,101.523,118.093,111.204,106.726
"m89.042 ((C4H8S)H+) ",117.902,122.682,224.054,149.103,224.769,201.343,194.327,253.238,189.639,110.05,198.051,175.54,157.664,126.49,262.52,65.846,101.523,118.125,111.204,106.662
"m89.060 ((C4H8O2)H+) ",117.87,122.746,224.086,149.039,224.737,201.375,194.262,253.205,189.607,110.05,197.954,175.573,157.664,126.49,262.52,65.782,101.491,118.125,111.164,106.694
"m89.096 ((C5H12O)H+) ",117.805,122.617,223.893,148.91,224.479,201.343,194.262,253.205,189.381,110.082,197.889,175.54,157.729,126.329,262.456,65.782,101.362,118.125,111.244,106.662
"m90.055 ((C3H7NO2)H+) ",6.716,9.138,13.461,9.33,12.169,12.203,10.847,14.074,10.46,7.233,11.654,10.461,9.911,7.33,13.395,4.327,6.458,6.78,7.165,6.522
"m91.039 ((C3H6O3)H+) ",87.293,86.419,86.321,85.32,92.425,81.993,79.993,72.21,76.895,76.153,80.962,78.025,73.022,75.635,81.577,84.676,78.025,79.51,76.856,75.315
"m91.050 ((C2H6N2O2)H+) ",87.616,86.742,86.58,85.45,92.684,82.284,80.219,72.339,77.024,76.54,81.059,78.122,73.087,75.7,81.545,84.934,78.219,79.64,77.017,75.574
"m91.058 ((C4H10S)H+) ",87.68,86.871,86.677,85.45,92.716,82.381,80.252,72.404,77.024,76.637,81.156,78.251,73.184,75.732,81.577,85.128,78.284,79.801,77.017,75.767
"m92.062 ((C7H8)+) ",57.099,49.613,41.349,42.576,38.896,34.248,36.799,15.979,30.925,43.447,37.895,31.377,43.156,38.38,33.894,58.391,46.77,41.639,42.468,41.51
"m93.033 ((C6H5O)+) ",1332.568,1190.124,960.394,1014.741,927.785,835.721,844.721,274.24,775.835,991.453,839.996,706.872,955.495,883.093,806.491,1417.039,1119.89,904.688,983.143,934.996
"m93.070 ((C7H8)H+) ",1332.476,1190.096,960.331,1014.646,927.787,835.755,844.82,274.111,775.74,991.26,839.804,706.939,955.79,883.063,806.298,1417.075,1119.829,904.754,983.306,935.031
"m94.041 ((C6H6O)+) ",101.979,94.195,76.307,80.443,75.661,66.655,64.167,22.239,63.522,78.923,64.913,54.066,77.598,70.238,63.103,111.153,87.251,73.079,78.33,76.21
"m95.049 ((C6H6O)H+) ",25.89,25.697,31.38,31.477,32.122,33.028,37.449,30.543,45.747,38.061,46.618,42.583,44.455,43.875,47.554,25.567,28.314,31.703,35.867,36.708
"m95.086 ((C7H10)H+) ",25.89,25.697,31.412,31.541,31.993,33.092,37.481,30.478,45.779,37.964,46.522,42.422,44.52,43.81,47.554,25.567,28.12,31.606,35.907,36.708
"m96.057 ((C6H8O)+) ",3.972,3.713,3.972,5.166,3.907,3.713,4.746,3.293,5.134,4.812,5.263,4.941,4.423,4.423,4.488,3.649,3.261,4.521,4.844,5.167
"m97.040 ((C4H4N2O)H+) ",15.787,19.112,23.761,21.533,20.952,21.856,22.308,19.435,23.438,21.308,24.375,22.051,21.89,22.212,24.051,12.495,16.563,18.37,18.736,20.114
"m97.065 ((C6H8O)H+) ",15.722,19.112,23.697,21.501,20.92,21.889,22.34,19.435,23.406,21.34,24.407,22.083,21.89,22.148,24.051,12.495,16.595,18.402,18.696,20.05
"m97.101 ((C7H12)H+) ",15.69,19.047,23.697,21.533,20.92,22.083,22.373,19.435,23.374,21.405,24.472,21.954,21.954,22.115,24.083,12.56,16.692,18.37,18.656,20.082
"m97.967 ((H2O4S)+) ",3.067,4.23,4.004,4.069,4.036,3.81,4.65,2.841,4.294,4.101,4.488,3.971,4.164,3.778,4.423,3.197,4.198,3.842,4.204,4.52
"m98.975 ((H2O4S)H+) ",10.718,11.913,16.853,15.238,18.562,22.437,31.636,15.399,33.123,33.572,32.863,34.605,35.251,37.93,41.771,9.137,15.722,26.699,35.147,36.35
"m99.080 ((C6H10O)H+) ",10.783,12.01,16.918,15.271,18.659,22.566,31.636,15.399,33.252,33.895,32.831,34.702,35.509,37.994,41.901,9.234,15.819,26.505,35.187,36.479
"m99.092 ((C5H10N2)H+) ",10.848,12.01,16.918,15.271,18.691,22.598,31.668,15.399,33.317,33.863,32.799,34.702,35.477,37.962,41.869,9.234,15.787,26.505,35.147,36.512
"m99.104 ((C6H13N)+) ",10.815,12.01,16.95,15.271,18.659,22.501,31.636,15.399,33.285,33.863,32.831,34.735,35.477,37.93,41.965,9.267,15.755,26.505,35.147,36.512
"m99.117 ((C7H14)H+) ",10.815,11.977,16.885,15.271,18.562,22.501,31.636,15.399,33.285,33.863,32.831,34.735,35.477,37.93,41.965,9.17,15.755,26.44,35.147,36.512
"m101.060 ((C5H8O2)H+) ",20.016,23.534,27.216,25.633,30.313,29.055,26.731,29.829,28.925,22.952,26.247,25.731,23.664,24.698,27.667,18.014,24.92,28.084,23.536,23.276
"m101.096 ((C6H12O)H+) ",19.984,23.501,27.087,25.665,30.378,29.055,26.602,29.765,28.892,23.081,26.279,25.796,23.664,24.698,27.603,17.949,24.92,28.02,23.496,23.179
"m102.025 ((C3H6N2S)+) ",3.681,3.907,4.003,3.552,4.1,3.746,4.39,3.648,4.197,3.326,4.585,3.713,3.874,3.746,4.391,2.809,3.745,4.391,3.843,3.874
"m102.068 ((C5H10O2)+) ",3.648,3.971,4.035,3.487,4.1,3.713,4.39,3.648,4.165,3.326,4.553,3.713,3.875,3.778,4.327,2.809,3.778,4.358,3.804,3.81
"m102.104 ((C6H14O)+) ",3.616,3.939,4.068,3.455,4.197,3.746,4.325,3.616,4.197,3.294,4.553,3.649,3.907,3.778,4.359,2.744,3.778,4.326,3.764,3.81
