m/z	Average [Raw Data]	Range [Raw Data]	Ratio [Range/Average]
103.112	14.089	13.365	0.949
103.123	14.034	13.332	0.950
104.047	1.931	1.711	0.886
104.049	1.931	1.743	0.903
104.062	1.915	1.711	0.894
105.037	26.537	26.407	0.995
105.057	26.537	26.407	0.995
105.070	26.545	26.407	0.995
106.078	6.297	6.490	1.031
107.049	139.099	138.508	0.996
107.086	139.106	138.476	0.995
108.057	15.531	15.171	0.977
108.081	15.523	15.139	0.975
108.093	15.523	15.139	0.975
109.065	46.691	47.416	1.016
109.076	46.691	47.416	1.016
109.089	46.683	47.416	1.016
109.101	46.707	47.481	1.017
110.060	4.768	4.940	1.036
110.073	4.799	4.940	1.029
110.084	4.807	4.940	1.028
110.109	4.776	5.005	1.048
111.080	10.852	11.010	1.015
111.092	10.852	11.010	1.015
111.104	10.844	10.945	1.009
111.117	10.820	10.913	1.009
112.007	4.011	3.842	0.958
112.052	4.011	3.810	0.950
112.088	4.051	3.810	0.940
112.112	4.074	3.842	0.943
113.015	7.534	7.459	0.990
113.060	7.558	7.459	0.987
113.096	7.574	7.523	0.993
113.107	7.582	7.555	0.997
114.091	5.557	4.908	0.883
114.128	5.517	4.876	0.884
115.075	8.827	8.944	1.013
115.112	8.811	8.976	1.019
115.123	8.819	9.041	1.025
116.143	1.726	1.614	0.935
117.070	21.591	21.241	0.984
117.078	21.536	21.176	0.983
117.091	21.402	21.015	0.982
117.102	21.229	20.757	0.978
117.127	20.795	20.272	0.975
118.065	1.891	1.453	0.768
118.078	1.907	1.485	0.779
118.081	1.907	1.485	0.779
118.086	1.915	1.485	0.775
119.060	10.371	10.686	1.030
119.086	10.237	10.590	1.034
120.081	1.213	1.162	0.958
121.052	14.933	14.302	0.958
121.065	14.917	14.302	0.959
121.089	14.854	14.205	0.956
121.101	14.831	14.140	0.953
122.060	2.002	1.937	0.968
122.084	2.002	1.937	0.968
122.096	1.986	1.937	0.975
123.092	10.773	10.041	0.932
124.039	1.670	1.549	0.928
124.057	1.670	1.549	0.927
125.042	8.717	8.395	0.963
125.060	8.693	8.331	0.958
125.071	8.693	8.331	0.958
125.084	8.693	8.395	0.966
125.096	8.709	8.395	0.964
125.107	8.701	8.395	0.965
125.120	8.693	8.395	0.966
127.112	14.901	14.559	0.977
127.136	14.893	14.624	0.982
127.903	2.443	2.486	1.018
128.120	2.545	2.550	1.002
128.143	2.537	2.583	1.018
128.911	8.724	8.265	0.947
129.045	8.748	8.201	0.937
129.070	8.756	8.201	0.937
129.091	8.764	8.233	0.939
129.127	8.716	8.201	0.941
129.139	8.685	8.169	0.941
129.151	8.661	8.169	0.943
131.060	5.414	5.295	0.978
131.107	5.399	5.295	0.981
131.143	5.375	5.231	0.973
131.154	5.336	5.198	0.974
132.066	0.804	0.613	0.763
132.102	0.796	0.646	0.811
133.065	2.711	2.712	1.000
133.101	2.609	2.745	1.052
135.080	5.407	5.876	1.087
135.117	5.415	5.941	1.097
137.047	27.304	25.116	0.920
137.060	27.296	25.116	0.920
137.060	27.296	25.116	0.920
137.071	27.312	25.148	0.921
137.132	27.312	25.181	0.922
139.148	7.708	7.361	0.955
144.175	1.442	1.356	0.940
145.076	12.056	12.267	1.017
145.122	12.041	12.202	1.013
145.962	1.639	1.517	0.926
145.968	1.647	1.517	0.921
146.970	2.120	2.292	1.081
146.976	2.104	2.325	1.105
148.088	0.701	0.678	0.966
148.125	0.677	0.678	1.000
149.096	9.497	9.751	1.027
151.075	3.554	4.068	1.145
152.120	0.693	0.581	0.838
153.055	5.028	4.940	0.982
153.070	5.028	4.940	0.982
153.127	5.020	4.940	0.984
153.151	5.013	4.940	0.986
153.980	1.063	1.033	0.971
155.086	4.248	4.650	1.095
155.107	4.240	4.618	1.089
155.142	4.209	4.618	1.097
157.159	3.681	3.681	1.000
159.174	4.382	4.327	0.987
161.132	1.647	1.711	1.039
162.128	0.496	0.613	1.236
163.063	2.601	2.551	0.981
163.075	2.609	2.583	0.990
163.099	2.609	2.583	0.990
163.123	2.616	2.615	1.000
163.136	2.601	2.615	1.006
163.148	2.585	2.615	1.012
165.091	1.560	1.614	1.035
165.985	0.512	0.484	0.945
166.062	0.528	0.548	1.039
166.078	0.528	0.548	1.039
166.135	0.520	0.581	1.117
167.070	1.718	1.517	0.883
167.086	1.718	1.517	0.883
174.140	2.545	2.680	1.053
175.148	0.780	0.678	0.869
178.062	0.520	0.613	1.179
178.123	0.512	0.613	1.197
179.086	0.725	0.613	0.846
179.107	0.709	0.581	0.819
179.128	0.709	0.581	0.819
179.929	1.190	1.227	1.031
180.081	1.158	1.227	1.059
180.093	1.158	1.227	1.059
180.151	1.134	1.130	0.996
180.937	16.784	16.850	1.004
181.076	16.784	16.850	1.004
181.101	16.776	16.818	1.002
181.159	16.446	16.495	1.003
181.170	16.272	16.269	1.000
182.109	2.010	2.131	1.060
183.047	16.839	16.464	0.978
183.080	16.839	16.464	0.978
186.140	0.804	0.936	1.165
187.148	1.403	1.420	1.013
188.937	0.536	0.516	0.964
189.164	0.433	0.484	1.117
191.143	1.198	1.033	0.862
192.093	1.261	1.065	0.845
193.101	1.836	1.776	0.967
193.122	1.821	1.776	0.975
194.154	0.827	0.904	1.092
195.065	0.867	0.710	0.819
195.138	0.819	0.645	0.788
197.132	0.717	0.645	0.900
199.148	1.198	1.033	0.863
201.139	6.139	6.457	1.052
201.233	6.108	6.425	1.052
203.086	0.677	0.484	0.714
203.154	0.701	0.484	0.690
204.187	0.362	0.419	1.158
205.157	0.961	1.000	1.041
205.195	0.953	0.968	1.016
211.148	2.829	2.712	0.959
228.093	2.340	1.969	0.841
228.269	2.277	1.937	0.851
237.164	0.654	0.742	1.135
239.007	0.606	0.549	0.905
239.179	0.583	0.484	0.831
150.000	673.167	664.521	0.987
